,2021-01-03,2021-01-05,2021-01-12,2021-01-19,2021-01-26,2021-02-01,2021-02-03,2021-02-05,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-18,2021-02-19,2021-02-22,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-07,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-23,2021-03-25,2021-03-26,2021-03-27,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-08,2021-04-09,2021-04-10,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-22
白酒,0.5452893229807879,0.6799870410976006,0.6857932250012219,0.5456178150552776,0.5957849275225666,0.5236526432129845,0.5453475289300916,0.5924396371962326,0.5924396371962326,0.5924396371962326,0.5689082477556469,0.5690215508848204,0.6306789116269116,0.6306789116269116,0.6499574410474772,0.5919930400532356,0.4996496219258931,0.4688177477455345,0.4058447747826209,0.3696617231329759,0.38240148304314303,0.3898792931310268,0.3811566501581864,0.35365616304163033,0.3402289122547615,0.3340858330489752,0.25875949104742524,0.2738854003279841,0.32811897185397265,0.32707201842330835,0.32707201842330835,0.3155697941205043,0.29074008076530056,0.304758565118913,0.35434200159629203,0.3231883776925639,0.3431580817582521,0.307023174250828,0.34294781500887545,0.4123138386228701,0.4123830959909226,0.3819419513753538,0.4043283786290594,0.4723900755049185,0.4621069702922835,0.4441605978596389,0.4233161562549476,0.4233161562549476,0.4127989371605576,0.4386663642653245,0.4363141980618168,0.4402816545144287,0.4747890212546815,0.565414409691484
光伏,0.5926751584303719,0.6582463364249437,0.6460404721103655,0.6012883468618793,0.7064775916428578,0.5242844387005834,0.5224804220738852,0.5206345257299092,0.5206345257299092,0.5206345257299092,0.4625349390102719,0.5377739127993364,0.5778741407029726,0.5778741407029726,0.5990332637013862,0.5496822886852333,0.5486368139624077,0.5178477287258856,0.4703641767356282,0.4618919584926198,0.5000462191672321,0.5214560059584352,0.4877467056398143,0.4710155051778802,0.4594379015780389,0.4749118610651578,0.3943960969465407,0.3734360093444721,0.3896394060670846,0.4128461956472054,0.4128461956472054,0.3979531376922328,0.3819854127367043,0.3776376266095613,0.37168989128179214,0.36947190719579576,0.33511665173532845,0.31315108850934903,0.3523247029793335,0.3778904542572253,0.3988379554878528,0.3915454295665698,0.4174727474247833,0.3850328767918413,0.4278645523636163,0.3990067827765985,0.3763972252911353,0.3879179626183242,0.3509207067810053,0.3427612174610937,0.36013975659232395,0.4196567368387467,0.3987649860648165,0.4515193903522145
消费,0.3815851315660124,0.4906437522051078,0.51762730317781,0.470381164624265,0.4622644856807582,0.4418583856546358,0.4492117374072679,0.4556857781125352,0.4556857781125352,0.4556857781125352,0.4528394936655266,0.4938417317530618,0.5082379055293788,0.5082379055293788,0.5376886517656158,0.4664575824359047,0.4010306281547045,0.3822212706354936,0.3524251216473791,0.3229151721385696,0.32187364447379074,0.3110610733115887,0.28585090845838124,0.2739015088418381,0.2381330785993165,0.24605679531902336,0.19119113421168826,0.20515941980647406,0.2225493773232413,0.2114412642251032,0.2114412642251032,0.19340521840103067,0.1823160709817206,0.21074147586413727,0.23978346545494564,0.21797899692510705,0.21447102740925789,0.20613424113427767,0.25416577010667857,0.2570524958331789,0.2853873301474231,0.29221418935736426,0.2908661487282673,0.3074893436314192,0.2939350589082381,0.31094810238393245,0.3066121627330488,0.3113008074216935,0.2893719782574003,0.28746966987808503,0.2913267501263887,0.3045752065834631,0.30541502918591673,0.3133703037570663
医疗,0.212820712331122,0.2201222504110527,0.2492190630439417,0.20701563184943034,0.2484961120083712,0.1865653003164211,0.2105255894958652,0.23729724115665024,0.23729724115665024,0.23729724115665024,0.23910751788897394,0.2429574628068392,0.2824152073592057,0.2824152073592057,0.2827458267702707,0.2117646610317213,0.1869901495941849,0.17758724395248976,0.1692502114803997,0.15918366666396935,0.15839360868706534,0.1363590096570398,0.11949444942244115,0.10928436416441242,0.08694857464071659,0.09262577023359582,0.03966430128363151,0.03124339675899782,0.03323428771273625,0.04038739236732153,0.04038739236732153,0.031638057246654784,0.02223066490462298,0.04290007294869081,0.06387142510679866,0.05135658876486373,0.05206112482861562,0.03994491426572512,0.06427692512965495,0.07306403787323604,0.08552872610252005,0.08303792682566005,0.08743939569205512,0.09489754337578177,0.06808067486039153,0.10032635170465712,0.1009073203325026,0.0951434995932157,0.08521054448605966,0.07966208223660398,0.0759070030193607,0.061054264790824736,0.07541198565082241,0.10811162123238185
黄金,0.23344584867551746,0.3110911358989371,0.2564605149555147,0.2513707221650029,0.2673005695754139,0.2300811940994553,0.21684143985328214,0.14833024105454398,0.14833024105454398,0.14833024105454398,0.16467637192318516,0.2203726130536081,0.27365468556049344,0.27365468556049344,0.3518777828091459,0.4017874429946213,0.5052171067245814,0.4848468355582922,0.4486769684654591,0.3459098902838723,0.3367155833109939,0.30931706246159874,0.3157765567678669,0.2873818539027576,0.23807783607361474,0.2615456704667877,0.21736403276767388,0.1986176232064308,0.2482309531949337,0.253815711540398,0.253815711540398,0.2541737212434341,0.2322207396887735,0.2219608568249148,0.2603032563974921,0.21576082411003705,0.16954356276156066,0.15089138896907311,0.15327077015600338,0.1549012389937273,0.15359566276841916,0.13339295183478686,0.14240769689400332,0.17332028581359485,0.1827668331426684,0.2092874631667032,0.22040781941062745,0.22040781941062745,0.1822078715942972,0.14319824986197266,0.1431709896268885,0.1603378331699288,0.20686275005788954,0.21030124486465337
证券,0.5886168409197307,0.5932021562794261,0.6738692042070853,0.6366883741914978,0.596616855282265,0.4959647763374933,0.4761302937786254,0.4658149776087701,0.4658149776087701,0.4658149776087701,0.4889179021055588,0.5190177996475247,0.5090544872548302,0.5090544872548302,0.5313740816713044,0.4904643881633151,0.4182222075960989,0.4056771285790095,0.381645303721928,0.3571499330422988,0.34795084906720725,0.3399486683250631,0.3405279034064154,0.3244234462612235,0.3098964821515896,0.3115468734999945,0.2007760431886007,0.19796246945334367,0.2045395301557415,0.20995080218280124,0.20995080218280124,0.17442923212200456,0.1606833334142425,0.163185178399965,0.19077074682455414,0.20680929018520272,0.2450012995584231,0.21227957716516865,0.20740552968875053,0.21998869339264449,0.20385106051669785,0.19777173581531832,0.1876141672179546,0.22927420399113066,0.21120600777891305,0.21625349645822609,0.20097150716162632,0.1859051941642789,0.16696828726835428,0.15567231452318508,0.16721763319738042,0.15949208893981587,0.18551514353559528,0.23235450615574965
大盘,0.18195695984351867,0.24162843083793986,0.2498312354949913,0.2446038443863773,0.2349041948855075,0.1852827969343942,0.21734717190635866,0.2280543331319372,0.2280543331319372,0.2280543331319372,0.2491513995285426,0.2493012242301821,0.2646010731905716,0.2646010731905716,0.2874316570576357,0.2573772762772297,0.2540529324214669,0.2190797664950256,0.2280477081377457,0.1970104362792013,0.21546033536190465,0.20498404767254705,0.2100707712597828,0.212388882565853,0.1992175966097288,0.2183018026937069,0.20232477839563115,0.20513316067574333,0.2053421677509153,0.22114122114869408,0.22114122114869408,0.2252816187995843,0.2088790818424385,0.21589360659629486,0.2198538425043226,0.1743554940171073,0.1623000684968849,0.1508574053398816,0.16675930763779426,0.1801420321806944,0.1871573109196263,0.19676552247253595,0.2094525467623144,0.2072541600189937,0.19817374975814955,0.18567102032700444,0.1882308163741871,0.1894122800126363,0.206786496643294,0.22173663683550604,0.21537832876740293,0.2043984208912389,0.23452351385153605,0.21946556334691136
有色,0.4783846796152222,0.5616584860009973,0.5860177825532391,0.5279941113723831,0.6208544057514853,0.520483500287087,0.634235994733111,0.5917180011923981,0.5917180011923981,0.5917180011923981,0.5790242157201334,0.6415824278480373,0.6915809517811624,0.6915809517811624,0.8224866685319251,0.8585445191630544,1.0035773062158142,0.9707950133287218,0.9627296639940568,0.8596701595486149,0.8626864606410333,0.8852348730816975,0.8599422242119441,0.8595286361709347,0.7362495363223597,0.7861245631652635,0.7269080498433655,0.7018486727941525,0.7888345673628085,0.8285475227051812,0.8285475227051812,0.8350750203139448,0.8112809888593706,0.7269463509143318,0.7320000616360266,0.6772588936721072,0.5662478643695332,0.5494934470698957,0.5675358348426084,0.5853709320546551,0.6041910746153776,0.5815179522740985,0.5858774405830529,0.5851459675505577,0.6317870044917977,0.6789703186888899,0.7007474820270777,0.7007474820270777,0.6943517859216912,0.6466510723233964,0.6372293993362547,0.6688679008194129,0.6840802592745895,0.706471224980528
能源,0.4884644671027836,0.6001545670291947,0.6777992576700366,0.7523197771864203,0.8842442740136546,0.6793998502271051,0.7340761116210082,0.6146263656264626,0.6146263656264626,0.6141174597740451,0.5419338400799558,0.6137732710357641,0.6366068781225079,0.6366068781225079,0.6525409929928729,0.6242433874035739,0.6183856289805769,0.5521835607130213,0.5108635918760113,0.4740839873739981,0.5158799628063189,0.5163429519730933,0.5473307064408168,0.5471386161448551,0.5457757765378937,0.5607754848998097,0.5052732960042269,0.4985598433156754,0.5027396825581721,0.5609679668308203,0.5609679668308203,0.5659326711411022,0.5461810704580848,0.5373705732864156,0.5419521997461862,0.5945196745945915,0.6178019872585551,0.5720948829803963,0.5998176232646787,0.6062584798330536,0.5989006620265006,0.6299325017741435,0.6270584141280683,0.5900417198625612,0.6047388623728203,0.5607173208920025,0.5452869132062049,0.538196836870327,0.4886625604933575,0.4767435932454177,0.4493869109285962,0.43130747805220987,0.4111485344724597,0.5191786705972226
军工,0.5582298550696744,0.6653710278643515,0.6146551872880563,0.4956371664503994,0.37195544651612394,0.24776382187862656,0.2349367958005117,0.18929723504182105,0.18929723504182105,0.18929723504182105,0.14034500408035716,0.1524195882205089,0.1514280091038639,0.1514280091038639,0.1921195470411646,0.2388719251016561,0.326838480410706,0.3445254347907272,0.34310502754069955,0.31448945144192936,0.3215484844805888,0.3183652261863405,0.3057304120295204,0.33469140622663096,0.3606441228988804,0.3398176449512237,0.2765097850143243,0.2184392528524918,0.21220601805702968,0.2153432810325544,0.2153432810325544,0.2281740661259377,0.2316992217035185,0.2571083051956611,0.2521450982758194,0.27491723382662914,0.2389198615725213,0.2246834526212073,0.22636597534611136,0.2461230444542713,0.2712936013766824,0.2455224554670318,0.22199460745370966,0.2229072664997062,0.3421254091856395,0.31813305873457803,0.3132606338080172,0.3132606338080172,0.2952097414851469,0.2765920311086784,0.27608158214029616,0.3111235651797932,0.3346615751902118,0.3713555757329741
