,date,text
0,2020-09-09,【专题】稳岗就业支持政策一键查|复工复产支持政策一键查
1,2020-09-08,中共中央国务院中央军委关于表彰全国抗击新冠肺炎疫情先进个人和先进集体的决定
2,2020-09-08,中共中央关于表彰全国优秀共产党员和全国先进基层党组织的决定
3,2020-09-07,国务院关于深化北京市新一轮服务业扩大开放综合试点建设国家服务业扩大开放综合示范区工作方案的批复
4,2020-09-03,国务院关于公布第三批国家级抗战纪念设施、遗址名录的通知
5,2020-08-31,国务院联防联控机制印发《进一步推进新冠病毒核酸检测能力建设工作方案》
6,2020-08-28,国务院关于中新广州知识城总体发展规划（2020—2035年）的批复
7,2020-08-27,中共中央国务院关于对《首都功能核心区控制性详细规划（街区层面）（2018年－2035年）》的批复
8,2020-08-25,中共中央办公厅国务院办公厅印发《关于改革完善社会救助制度的意见》
9,2020-08-20,中华人民共和国预算法实施条例
10,2020-08-14,国务院关于修改《行政执法机关移送涉嫌犯罪案件的规定》的决定
11,2020-08-12,国务院办公厅关于进一步做好稳外贸稳外资工作的意见
12,2020-08-11,国务院关于同意全面深化服务贸易创新发展试点的批复
13,2020-08-04,国务院关于印发新时期促进集成电路产业和软件产业高质量发展若干政策的通知
14,2020-07-31,中央人民政府关于香港特别行政区第七届立法会选举推迟有关事宜的意见
15,2020-07-31,国务院办公厅关于支持多渠道灵活就业的意见
16,2020-07-30,国务院办公厅印发《关于提升大众创业万众创新示范基地带动作用进一步促改革稳就业强动能的实施意见》
17,2020-07-27,国务院办公厅关于同意建立国务院推进贸易高质量发展部际联席会议制度的函
18,2020-07-27,国务院办公厅关于同意建立公共法律服务体系建设部际联席会议制度的函
19,2020-07-24,国务院办公厅印发《应急救援领域中央与地方财政事权和支出责任划分改革方案》
20,2020-07-23,国务院办公厅关于印发深化医药卫生体制改革2020年下半年重点工作任务的通知
21,2020-07-22,国务院办公厅关于同意调整完善职业病防治工作部际联席会议制度的函
22,2020-07-21,国务院关于同意设立“中国人民警察节”的批复
23,2020-07-21,国务院办公厅关于进一步优化营商环境更好服务市场主体的实施意见
24,2020-07-21,国务院办公厅关于同意调整完善网络市场监管部际联席会议制度的函
25,2020-07-20,中共中央印发《中国共产党基层组织选举工作条例》
26,2020-07-20,国务院办公厅关于全面推进城镇老旧小区改造工作的指导意见
27,2020-07-17,国务院关于促进国家高新技术产业开发区高质量发展的若干意见
28,2020-07-14,保障中小企业款项支付条例
29,2020-07-10,国务院办公厅印发《自然资源领域中央与地方财政事权和支出责任划分改革方案》
30,2020-07-10,国务院办公厅关于进一步规范行业协会商会收费的通知
31,2020-07-09,国务院办公厅关于推进医疗保障基金监管制度体系改革的指导意见
32,2020-07-08,国务院办公厅关于切实做好长江流域禁捕有关工作的通知
33,2020-07-08,国务院办公厅关于印发国务院2020年立法工作计划的通知
34,2020-07-08,中共中央办公厅转发两部门关于认真组织学习《习近平谈治国理政》第三卷的通知
35,2020-07-07,国务院关于做好自由贸易试验区第六批改革试点经验复制推广工作的通知
36,2020-07-03,国务院办公厅关于印发2020年政务公开工作要点的通知
37,2020-06-29,化妆品监督管理条例
